image,text
data/raw/other/utrset_000.png,اندراج و تحریر شرعاً صرف مستحب اور پسندیدہ ہے وہ واجب نہیں کہ کسی شرعی
data/raw/other/utrset_001.png,اور ہندوستان کی مسلم ریاستوں میں اس پر کم و بیش عمل درآمد بھی ہے، جہاں تک جبری
data/raw/other/utrset_002.png,بلکہ اس کے نزدیک وہ پسندیدہ اور مستحسن بھی ہے، عملی پہلوکے لحاظ سے اسلامی سلطنتوں
data/raw/other/utrset_003.png,جہاں تک پہلی صورت کاتعلق ہے، شریعت اسلامیہ کی رو سے اس پر اعتراض جائز نہیں،
data/raw/other/utrset_004.png,ہے، اس لیے اس کولازمی طورپر جاری کردیاجائے، اس کانام جبر ی اندراج ہے،
data/raw/other/utrset_005.png,مقدمات سے نجات مل سکتی ہے، نکاح کے ثبوت اورک دین مہر کے تعین میں سہولت ہوتی
data/raw/other/utrset_006.png,دوسرا پہلو یہ ہے کہ چونکہ اس اندراج میں بہت سی مصلحتیں ہیں، اس سے بڑی حدتک
data/raw/other/utrset_007.png,جس قدر لوگ اس پر عمل کریں اتنا ہی فائدہ ہے، اس کانام اختیاری اندراج ہے،
data/raw/other/utrset_008.png,ایک تویہ کہ اس قسم کااندراج مفید ونافع ہے، اوراس کا رواج دینا مناسب ہے،
data/raw/other/utrset_009.png,کے لیے غیر ضروری تسلیم کرتے ہوئے اس حیثیت سے یہ مسئلہ زیر بحث آسکتاہے،
data/raw/other/utrset_010.png,اسلامی حکم کے خلاف ہوگا، ہاں نکاح وطلاق کے اندراج کوصحت نکاح وطلاق
data/raw/other/utrset_011.png,جو نکاح وطلاق کی اس حیثیت پر اثر انداز ہو، قبول نہیں کیاجاسکتا، کیونکہ وہ
data/raw/other/utrset_012.png,نہیں ہوئی، ناجائز اور قابل انکار نہیں قرار دی جاسکتی، اس لیے کوئی ایسا قانون
data/raw/other/utrset_013.png,اورکوئی طلاق صرف اس وجہ سے کہ وہ لکھی نہیں گئی یا سرکاری رجسٹر میں درج
data/raw/other/utrset_014.png,نکاح صرف اس وجہ سے وہ لکھا نہیں گیا یا سرکاری رجسٹرمیں درج نہیں ہے
data/raw/other/utrset_015.png,زبانی الفاظ طلاق (بشرائط مقررہ ومعتبرہ) و قوع طلاق کے لیے کافی ہیں، کوئی
data/raw/other/utrset_016.png,نہیں، مذہبی طورپر زبانی ایجاب و قبول (بشرائط مقررہ و معتبرہ) نکاح کے لیے اور
data/raw/other/utrset_017.png,احکام کی بناء پر نکاح وطلاق کی صحت کے لیے کتاب اور رجسٹر میں اندراج کی ضرورت
data/raw/other/utrset_018.png,اس وقت مسئلہ یہ تھا کہ نکاح وطلاق کا اندراج سرکاری طورپر ایک رجسٹرمیں
data/raw/other/utrset_019.png,اس لیے اس سے ان کے خیالات کااندازہ کیاجاسکتاہے۔
data/raw/other/utrset_020.png,میں قابل قبول نہیں سمجھی گئی توپھر مولاناکفایت اللہ اور مولاناقطب الدین کی تائید سے
data/raw/other/utrset_021.png,فرنگی محلی وغیرہ تھے، اس کمیٹی نے جو رپورٹ تیار کی وہ یوپی کی مجلس قانون ساز
data/raw/other/utrset_022.png,کے ساتھ مولاناکفایت اللہ دہلوی،مولوی نعیم الدین مرادآبادی اور مولانا قطب الدین
data/raw/other/utrset_023.png,الہ آباد ہائی کورٹ)تھے، اس کے ممبروں میں ڈاکٹر شفاعت احمدخاں کے علاوہ
data/raw/other/utrset_024.png,کو رجسٹرڈ کرنے کے لیے ایک قانون بناناتھا، اس کمیٹی کے صدر سرشاہ سلیمان (جج
data/raw/other/utrset_025.png,تھا، اس کامقصد مسلمانوں کونکاح وطلاق کے معاملات پر غور اور نکاح وطلاق
data/raw/other/utrset_026.png,الہ آباد یونیورسٹی) کی تحریک سے ایک کمیٹی بنائی گئی تھی، جس کانام ”مسلم میرج سب کمیٹی“
data/raw/other/utrset_027.png,میں یوپی کی مجلس قانون ساز میں ڈاکٹرشفاعت احمدخاں (پروفیسر تاریخ
data/raw/other/utrset_028.png,میں بڑی ہمدردی سے دلچسپی لی، جیسا کہ حسبِ ذیل تفصیلات سے اندازہ ہوگا۔
data/raw/other/utrset_029.png,انھوں نے قرآن مجید، حدیث اور فقہ کے اپنے گہرے مطالعہ سے ان کو حل کرنے
data/raw/other/utrset_030.png,اور وراثت کے مسائل میں بہت سے سوالات پیداہوتے رہے اس سلسلہ میں
data/raw/other/utrset_031.png,تو متعین کردیا ہے مگر جیسا کہ پہلے بھی کہا گیاہے، ہندوستان میں ان کے نکاح،طلاق
data/raw/other/utrset_032.png,غیر مسلم حاکم کافیصلہ جائز نہیں ہوسکتاہے اور نہ ایسے مسلمان حاکموں سے اس کے
data/raw/other/utrset_033.png,اس مشکل اس لیے حل نہیں کرسکتی ہیں کہ ان مسائل میں شرع اسلامی کے رو سے
data/raw/other/utrset_034.png,جائیں جو آنریری منصف کوحاصل ہیں، تاکہ وہ اپنے اختیارات سے ایسی مشکلوں
data/raw/other/utrset_035.png,مشکل یک آسان صورت یہ ہے کہ قاضیوں کوان معاملات کے لیے وہ اختیارات دیئے
data/raw/other/utrset_036.png,رجسٹری آفس بھی نئی ذمہ داریوں سے محفوظ رہیں گے(۲) اگر بالفعل یہ ممکن نہ ہو تواس
data/raw/other/utrset_037.png,ساری مشکلات دور ہوجائیں گی، عدالتیں بھی بہت سی دقتوں سے محفوظ ہوجائیں گی،
data/raw/other/utrset_038.png,قائم کردیاجائے جس کوان معاملات میں فیصلہ کرنے کاپورااختیار ہو، اس طرح تو
data/raw/other/utrset_039.png,نظام میں لاکر پورے صوبہ میں مسلمانوں کے نکاح وطلاق کے لیے ایک علیحدہ محکمہئ قضا
data/raw/other/utrset_040.png,کیں کہ (۱) مسلمانوں کے ان مسائل کے لیے قاضی مقرر کیے جائیں اوران کوایک مرکزی
data/raw/other/utrset_041.png,دونوں کے لیے مصیبت کاباعث ہوتے ہیں، مسلمان لڑکیاں مظلوم بنی رہتی ہیں، اس مصیبت کو
data/raw/other/utrset_042.png,وجہ سے مقدمے دائر ہوجاتے ہیں، ایسی صورت میں یہ مقدمات، خاندانوں اور عدالتوں
data/raw/other/utrset_043.png,مختلف صورتوں،خلع، خیار اور تفریق کے مسائل، ولی ہونے کے باہمی فرق و مراتب
data/raw/other/utrset_044.png,ہے کہ ترک وراثت، رضاعت، رشتوں کے حلال و حرام ہونے، عدت اطلاق کی
data/raw/other/utrset_045.png,اس لحاظ سے بے انصافی ہوتی ہے کہ ایسے لوگ بھی ان کا نکاح پڑھا دیتے ہیں جو ممکن
data/raw/other/utrset_046.png,اور تحصیلوں میں قاضیوں اور نائب قاضیوں کاتقرر کرے تو تمام مشکلات کا حل ہوجاتا
data/raw/other/utrset_047.png,اور یہ قاضی القضاۃ مسلمانوں کی رضامندی اور گورنمنٹ یک منظوری سے اضلاع
data/raw/other/utrset_048.png,اگر صوبہ کے مسلمان ایک قاضی القضاۃ کا انتخاب کریں اور گورنمنٹ اس ک منظورکرے
data/raw/other/utrset_049.png,قوت حاصل ہونے کے لیے ضروری ہے کہ حکومت اس انتخاب کوقبول کرے، اس بناء پر
data/raw/other/utrset_050.png,اپنی رضامندی سے ایک قاضی کاانتخاب کریں اوراس قاضی کوتنقیدکی طاقت اور
data/raw/other/utrset_051.png,منظور کرنا تقریباً ناممکن ہے، اس بناء پر اگر کوئی صورت ممکن ہے تووہ یہ ہے کہ مسلمان
data/raw/other/utrset_052.png,مسلم حکومت کیلیے خاص طورسے مسلمانوں کی خاطر ایک مستقل مسلمان والی کے تصور کو
data/raw/other/utrset_053.png,مختلف مذہبوں اور قوموں کی ایسی مخلوط آبادی ہے، جس کا لحاظ کرکے یہاں کی غیر
